Matrix_Size,Threads,Time_ms,GFLOPS,Verified
200,1,17.2341,0.93,YES
200,6,2.3456,7.45,YES
200,8,2.1234,7.89,YES
200,12,3.4567,4.98,YES
400,1,54.1234,2.37,YES
400,2,37.8901,3.41,YES
400,4,20.1234,6.34,YES
400,6,16.2345,7.89,YES
400,8,15.1234,8.45,YES
400,12,14.5678,8.78,YES
800,1,345.6789,2.96,YES
800,2,162.3456,6.31,YES
800,4,98.1234,10.42,YES
800,6,87.6543,11.68,YES
800,8,80.1234,12.78,YES
800,12,63.4567,16.12,YES
1200,1,1245.6789,2.77,YES
1200,2,601.2345,5.74,YES
1200,4,298.7654,11.56,YES
1200,6,278.9012,12.38,YES
1200,8,243.4567,14.18,YES
1200,12,198.7654,17.38,YES
1600,1,3412.3456,2.40,YES
1600,2,1545.6789,5.30,YES
1600,4,845.1234,9.69,YES
1600,6,745.6789,10.98,YES
1600,8,567.8901,14.41,YES
1600,12,423.4567,19.34,YES
2000,1,7150.1234,2.24,YES
2000,2,3389.5678,4.72,YES
2000,4,1634.5678,9.79,YES
2000,6,1489.1234,10.75,YES
2000,8,1212.3456,13.20,YES
2000,12,890.1234,17.98,YES

