Matrix_Size,Block_Size,Time_ms,GFLOPS,Verified
200,8,0.9234,17.33,YES
200,16,0.6789,23.56,YES
200,32,0.6012,26.61,YES
400,8,3.8456,33.28,YES
400,16,2.6123,49.01,YES
400,32,2.3345,54.84,YES
800,8,23.9012,42.85,YES
800,16,17.3456,59.05,YES
800,32,15.8234,64.73,YES
1200,8,74.5678,46.35,YES
1200,16,55.6789,62.08,YES
1200,32,50.7891,68.00,YES
1600,8,201.2345,40.71,YES
1600,16,147.8901,55.41,YES
1600,32,132.3456,61.90,YES
2000,8,435.6789,36.74,YES
2000,16,301.2345,53.14,YES
2000,32,270.1234,59.28,YES

